"1132074290986278912^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:01:58^1593"
"1132074359001108480^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:14^126"
"1132074361635135494^'which do you like better  microsoft or apple? -- apple red apple'^2019-05-25^00:02:15^96"
"1132074366299254785^'which do you like better  microsoft or apple? -- neither'^2019-05-25^00:02:16^413"
"1132074369230999552^' microsoft points'^2019-05-25^00:02:17^434"
"1132074373114998786^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:02:18^3"
"1132074376369704960^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:18^239"
"1132074399555870720^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:02:24^86"
"1132074408074448898^'which do you like better  microsoft or apple? -- apple fucking whoresmiling face with sunglasses'^2019-05-25^00:02:26^465"
"1132074411257925632^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:02:27^66"
"1132074421609541644^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:29^143"
"1132074421961797641^'which do you like better  microsoft or apple? -- you'^2019-05-25^00:02:29^1644"
"1132074429045977088^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:02:31^1658"
"1132074430547582976^'which do you like better  microsoft or apple? --'^2019-05-25^00:02:31^307"
"1132074436792791040^'microsoft is putting the sexy into unsexy software'^2019-05-25^00:02:33^4610"
"1132074445412155392^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:02:35^24389"
"1132074456594169856^'which do you like better  microsoft or apple? -- i don't know i just use whatever works better'^2019-05-25^00:02:38^87"
"1132074480648577024^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:02:43^174"
"1132074500139507712^'which do you like better  microsoft or apple? -- neither of them  i've always had a hard time with both of them so i dont use their products anymore curiouscat'^2019-05-25^00:02:48^230"
"1132074510407086080^'dragon ball xenoverse  (microsoft xbox one  ) ebay [?] ends in h heavy dollar sign last price usd  link symbol'^2019-05-25^00:02:50^3460"
"1132074516111396864^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:02:52^1123"
"1132074523283607553^'which do you like better  microsoft or apple? -- i've owned a mac since i was in th grade so just for familiarity sake apple lol'^2019-05-25^00:02:53^117"
"1132074524038578176^'which do you like better  microsoft or apple? -- pussy'^2019-05-25^00:02:54^4003"
"1132074527909961729^'which do you like better  microsoft or apple? --'^2019-05-25^00:02:55^1089"
"1132074556578029568^'which do you like better  microsoft or apple? --'^2019-05-25^00:03:01^176"
"1132074558545113089^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:03:02^21838"
"1132076100971061248^'which do you like better  microsoft or apple? -- both i don't really care about either'^2019-05-25^00:09:10^989"
"1132076134999429124^'which do you like better  microsoft or apple? -- i mean i like both soshrugemoji modifier fitzpatrick type-zero width joinermale sign[?]'^2019-05-25^00:09:18^1907"
"1132076144335962114^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:09:20^18306"
"1132076151634059264^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:09:22^6"
"1132076164917485568^'i'm not talking about microsoft  and as for the other conferences the only one that could deliver any excitement were tgs and psx paris games week conferences were quite trash besides the one that showed ghost of tsushima'^2019-05-25^00:09:25^712"
"1132076173884837893^'microsoft might finally embrace usb-c on next-gen surface pro '^2019-05-25^00:09:27^246"
"1132076179324899328^'which do you like better  microsoft or apple? -- to podendo escolher n'^2019-05-25^00:09:28^5593"
"1132076196257255426^'which do you like better  microsoft or apple? -- apple yktv'^2019-05-25^00:09:32^456"
"1132076208957657088^'which do you like better  microsoft or apple? -- nokia'^2019-05-25^00:09:35^239"
"1132076215022624775^'skype is terrible with features to connect me and indentify my neighbors meetup microsoft bing airbnb '^2019-05-25^00:09:37^171"
"1132076214867251200^'bottom was thursday'^2019-05-25^00:09:37^1890"
"1132076220303196160^'which do you like better  microsoft or apple? -- the one that doesn't try as hard to scam people flushed face'^2019-05-25^00:09:38^243"
"1132076223146987523^'which do you like better  microsoft or apple? -- thinking face'^2019-05-25^00:09:39^2276"
"1132076226032672770^'rt : we developed windows defender application guard extensions for chrome and firefox  now generally available  to allow cust'^2019-05-25^00:09:39^76"
"1132076236027699200^'rt : our microsoft defender atp for mac is now in public preview! please join the preview get started protecting your macs with'^2019-05-25^00:09:42^18"
"1132076242197307392^'rt : microsoft offers preview of blockchain-based identity system'^2019-05-25^00:09:43^2862"
"1132076243564867590^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:09:44^135"
"1132076263219355648^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:09:48^5"
"1132076276196319232^'rt : microsoft offers preview of blockchain-based identity system'^2019-05-25^00:09:51^5498"
"1132076288221622279^'congratulations  ed'^2019-05-25^00:09:54^17"
"1132076290738147331^'which do you like better  microsoft or apple? -- both'^2019-05-25^00:09:55^145"
"1132076290801111040^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:09:55^320"
"1132076292386566144^'between microsoft and apple  i choose you -- qual seria meu nome de pokemon?'^2019-05-25^00:09:55^102"
"1132076302809354240^'which do you like better  microsoft or apple? -- na real eu gosto mais quando tem cc'^2019-05-25^00:09:58^3327"
"1132076309243236352^'rt : insider dev tour is coming back to south africa! imagine new ways to build microsoft  user experiences when the insider'^2019-05-25^00:09:59^184"
"1132076312066183168^'which do you like better  microsoft or apple? -- janice safada'^2019-05-25^00:10:00^611"
"1132076318911283200^'how (and why) to start microsoft word from the command prompt -'^2019-05-25^00:10:02^2363"
"1132076322874744832^'rt : last fall we announced project xcloud  our game-streaming technology   corporate vice president - gaming'^2019-05-25^00:10:02^1"
"1132076325529935873^'part  of overview of key azure security services'^2019-05-25^00:10:03^3322"
"1132076332203020288^'which do you like better  microsoft or apple? -- crap i just accidently deleted the question someone asked about wanting to have sex w my twitter followers firstly i don't ""belong to my dom "" rather we have a d/s relationship'^2019-05-25^00:10:05^1460"
"1132076332693827585^'rt : small airplane[?] itacom  joystick[?]is online! face with stuck-out tongue and winking eye if you like support me person with folded hands videogames google stadia geforcenow xc'^2019-05-25^00:10:05^455"
"1132076337735307264^'which do you like better  microsoft or apple? --'^2019-05-25^00:10:06^56"
"1132076332181884928^'rt : and the last donation of the campaign - w/  (ten!!!) scholarships donated xface screaming in fearloudly crying face this means we'^2019-05-25^00:10:05^926"
"1132076352700653570^'which do you like better  microsoft or apple? -- man idk'^2019-05-25^00:10:10^419"
"1132076353417826305^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:10:10^2853"
"1132076372506107904^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:10:14^292"
"1132076391456022529^'rt : videogames itacom like to play seaofthieves as a singleplayer game video google stadia ge'^2019-05-25^00:10:19^455"
"1132076397420253187^'rt : get inspired by the periodic table of microsoft store apps for education by mieexpert entetw'^2019-05-25^00:10:20^834"
"1132076397466476544^'microsoft's electionguard a trojan horse for a military-industrial takeover of us elections paperballots'^2019-05-25^00:10:20^30907"
"1132076411731288064^'rt : small airplane[?] itacom claybook level joystick[?]face with stuck-out tongue and winking eye person with folded hands if you like support me videogames steam nintendo xbox playsta'^2019-05-25^00:10:24^455"
"1132076412679139328^'which do you like better  microsoft or apple? --'^2019-05-25^00:10:24^732"
"1132076417435537413^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:25^1148"
"1132076426746900481^'which do you like better  microsoft or apple? -- bitch i'll kill you'^2019-05-25^00:10:27^730"
"1132076440378150912^'rt : microsoft offers preview of blockchain-based identity system'^2019-05-25^00:10:31^586"
"1132076442978869248^'step : bring back visual j++ winking face seriously good to see microsoft focus so much on java what do you see as the opportunity to make java development experience better in the cloud?'^2019-05-25^00:10:31^79"
"1132076452617310208^'rt : racing motorcycle[?] itacom  is online face with tears of joyrolling on the floor laughingif you like support me donate at videogames google stadia geforcen'^2019-05-25^00:10:33^455"
"1132076453120466944^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:34^176"
"1132076459034652674^'dufus get the microsoft pro you got enough apple products face with rolling eyes'^2019-05-25^00:10:35^457"
"1132076461551214592^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:10:36^6516"
"1132076463509917696^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:10:36^318"
"1132076467855208448^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:10:37^2236"
"1132076467834245122^'rt : rhinoceros itacom  is online! x if you like supportme donate at videogames '^2019-05-25^00:10:37^455"
"1132076470061490178^'rt : which do you like better  microsoft or apple? -- rita ora loudly crying faceheavy black heart[?]'^2019-05-25^00:10:38^262"
"1132076476881342465^'which do you like better  microsoft or apple? --'^2019-05-25^00:10:39^695"
"1132076485320368128^'which do you like better  microsoft or apple? -- linux'^2019-05-25^00:10:41^517"
"1132076515586273281^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:48^3"
"1132076518417620993^'which do you like better  microsoft or apple? -- man idk who tf is making these questions'^2019-05-25^00:10:49^419"
"1132076534385336320^'which do you like better  microsoft or apple? -- lmao'^2019-05-25^00:10:53^96"
"1132076536524410880^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:53^19"
"1132076539447848960^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:54^6"
"1132076543373651968^'which do you like better  microsoft or apple? -- bandinha pra ti'^2019-05-25^00:10:55^673"
"1132076544174809093^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:10:55^13"
"1132076551900672006^'which do you like better  microsoft or apple? -- both are screwy soo idk'^2019-05-25^00:10:57^102"
"1132076562537426944^'which do you like better  microsoft or apple? -- red apple'^2019-05-25^00:11:00^364"
"1132076573304266752^'and that's my microsoft word to ya mother'^2019-05-25^00:11:02^88"
"1132076575355277312^'which do you like better  microsoft or apple? -- nintendo!'^2019-05-25^00:11:03^9"
"1132076584050073611^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:11:05^41"
"1132076590333136896^'which do you like better  microsoft or apple? -- apple obvio ?'^2019-05-25^00:11:06^200"
"1132076598080004101^'which do you like better  microsoft or apple? -- apple but my computer has microsoft :/'^2019-05-25^00:11:08^3539"
"1132076606313390080^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:11:10^70"
"1132076634410967040^'rt :  has teamed up with the clooney foundation to create the trialwatch app  which holds courts accountable and flag'^2019-05-25^00:11:17^1"
"1132076635291656193^' reasons microsoft has become the go-to for machine learning by alyse sue'^2019-05-25^00:11:17^163"
"1132076642086662148^'which do you like better  microsoft or apple? -- microsoft their os  windows  is compatible with a lot of software'^2019-05-25^00:11:19^9"
"1132076648776339456^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:11:20^845"
"1132076655277748224^'which do you like better  microsoft or apple? --'^2019-05-25^00:11:22^302"
"1132076679411785728^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:11:27^79"
"1132076680300961792^'microsoft might finally embrace usb-c on next-gen surface pro  usb-c could finally be coming to microsoft's surface pro tablet according to a microsoft patent filing  the port was shown in an illustration  suggesting that the company is working to support this feature in '^2019-05-25^00:11:28^35"
"1132076680812670977^'which do you like better  microsoft or apple? -- nintendo'^2019-05-25^00:11:28^240"
"1132076683601879040^'rt : what a incredible evening! thanks for having me and  binglistens'^2019-05-25^00:11:28^0"
"1132076701389852673^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:11:33^2206"
"1132076706821476353^'which do you like better  microsoft or apple? -- hqscmqnvp'^2019-05-25^00:11:34^269"
"1132076706892849152^'which do you like better  microsoft or apple? --'^2019-05-25^00:11:34^1275"
"1132076722088796160^'get the world's best seo with sending death threats only from microsoft!'^2019-05-25^00:11:38^112"
"1132076732998213632^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:11:40^1744"
"1132076737083445248^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:11:41^110"
"1132076739100913664^'which do you like better  microsoft or apple? -- green apple'^2019-05-25^00:11:42^245"
"1132076768003801089^'which do you like better  microsoft or apple? -- red apple'^2019-05-25^00:11:49^258"
"1132076784034426881^'microsoft doing interesting things with markdown'^2019-05-25^00:11:52^604"
"1132076786794270721^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:11:53^1349"
"1132076798974615557^'congratulations! this is such a great way to build up the hacker community'^2019-05-25^00:11:56^498"
"1132076801839292416^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:11:57^939"
"1132076803240136704^'which do you like better  microsoft or apple? -- pra celular apple mas pra todo o resto microsoft'^2019-05-25^00:11:57^987"
"1132076799314284546^'which do you like better  microsoft or apple? --'^2019-05-25^00:11:56^1217"
"1132076817706311681^'technology does not equal productivity  microsoft unveils sharepoint home sites  more'^2019-05-25^00:12:00^11271"
"1132076818448625665^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:12:01^293"
"1132076822793981952^'which do you like better  microsoft or apple? -- quien usa apple solo los ricos nada mas'^2019-05-25^00:12:02^5103"
"1132076836891045890^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:12:05^641"
"1132076837054631938^'which do you like better  microsoft or apple? --'^2019-05-25^00:12:05^667"
"1132076845560717313^'which do you like better  microsoft or apple? --'^2019-05-25^00:12:07^667"
"1132076855748640768^'which do you like better  microsoft or apple? -- tanto faz'^2019-05-25^00:12:10^596"
"1132076856973451264^'microsoft pulls huawei server products  laptop following us ban'^2019-05-25^00:12:10^21"
"1132076868440608775^'which do you like better  microsoft or apple? --'^2019-05-25^00:12:13^1656"
"1132076875889745920^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:12:14^117"
"1132076885712809987^'which do you like better  microsoft or apple? -- microsoft  next'^2019-05-25^00:12:17^151"
"1132076886899777541^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:12:17^3"
"1132076887289802753^'rt : no reason to trust microsoft or any other big tech giant  or any intelligence or law enforcement agencies for election inte'^2019-05-25^00:12:17^378"
"1132076912388521985^'curse you  microsoft for buying rare!'^2019-05-25^00:12:23^2540"
"1132076914259189760^'which do you like better  microsoft or apple? -- apple ne kk'^2019-05-25^00:12:23^254"
"1132076920349319168^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:12:25^78"
"1132076924287762434^'why? sounds like just another quid pro quo to me'^2019-05-25^00:12:26^35"
"1132076928872136705^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:12:27^170"
"1132076931384512512^'which do you like better  microsoft or apple? -- i like apple phones but other than that i don't really care for it'^2019-05-25^00:12:28^27"
"1132076944131072000^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:12:31^210"
"1132076969930027008^'rt : surface pro  hints in new microsoft patent showing usb-c  thinner bezels  new keyboard design https:/'^2019-05-25^00:12:37^252"
"1132076970039054336^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:12:37^86"
"1132076998648508417^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:12:44^332"
"1132077024330170368^'even if banjo isn't in smash  microsoft is definitely planning something'^2019-05-25^00:12:50^98"
"1132077031607418880^'rt : microsoft word does most of the referencing for you rt this thread to help a student out'^2019-05-25^00:12:51^3837"
"1132077040717451270^'which do you like better  microsoft or apple? -- microsoft pq cabe no bolso'^2019-05-25^00:12:54^1188"
"1132077055275950082^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:12:57^81"
"1132077061416165376^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:12:59^518"
"1132077066109636609^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:13:00^366"
"1132077070761250818^'keynote to rotary at royal queensland'^2019-05-25^00:13:01^54"
"1132077082987716608^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:13:04^1541"
"1132077089388191744^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:13:05^1700"
"1132077100079431683^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:13:08^47"
"1132077100280819713^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:13:08^123"
"1132077118559531009^'who the hell at microsoft said it was a good idea to put tablet mode on a desktop?'^2019-05-25^00:13:12^145"
"1132077122606886912^'rt : and the last donation of the campaign - w/  (ten!!!) scholarships donated xface screaming in fearloudly crying face this means we'^2019-05-25^00:13:13^2697"
"1132077125693894656^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:13:14^228"
"1132077130706169856^'me fall and winter term'^2019-05-25^00:13:15^518"
"1132077158778769414^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:13:22^3699"
"1132077166915514368^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:13:24^52"
"1132077169608450053^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:13:24^173"
"1132077176294170624^'rt : wants to ""adopt countermeasures to gaming addiction"" well signing with microsoft is a good start  theres fuck all t'^2019-05-25^00:13:26^1059"
"1132077202487631874^'rt : just downloaded this free app i find it very useful easy to follow video lessons covering mathematics  physics  chem'^2019-05-25^00:13:32^3966"
"1132077209999429633^'rt : xbox controller has  buttons using universal design to solve for one and extend to many adapted xbox c'^2019-05-25^00:13:34^887"
"1132077219726151681^'which do you like better  microsoft or apple? -- papai bill gates claro'^2019-05-25^00:13:36^140"
"1132077226503970816^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:13:38^771"
"1132077242480308228^'which do you like better  microsoft or apple? -- that's a tough one probably microsoft since they make everything'^2019-05-25^00:13:42^122"
"1132077252731187200^'which do you like better  microsoft or apple? --'^2019-05-25^00:13:44^656"
"1132077273845325825^'which do you like better  microsoft or apple? -- gosto mais de chocolate'^2019-05-25^00:13:49^1896"
"1132077273769754625^'which do you like better  microsoft or apple? -- if macs weren't so expensive'^2019-05-25^00:13:49^98"
"1132077279331409926^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:13:51^1793"
"1132077289901043712^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:13:53^40"
"1132077292073754627^'rt : microsoft's electionguard a trojan horse for a military-industrial takeover of us elections'^2019-05-25^00:13:54^105"
"1132077325858869249^'which do you like better  microsoft or apple? -- excuse me??? i thought microsoft was just like an application for word and whatnot and apple is a brand of techwhat do u want from me'^2019-05-25^00:14:02^221"
"1132077334553681921^'just earned my windows  creators update on the microsoft educator community! you can check out free pd courses too via'^2019-05-25^00:14:04^12"
"1132077341771849728^'which do you like better  microsoft or apple? -- microsoft'^2019-05-25^00:14:05^826"
"1132077342548025345^'rt : new from mint press news: ""microsoft's electionguard a trojan horse for a military-industrial takeover of us elections"" http'^2019-05-25^00:14:06^1291"
"1132077347895750656^'rt : soft butch? no  no i'm microsoft butch i only dress like bill gates in the s'^2019-05-25^00:14:07^11"
"1132077361443164160^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:14:10^151"
"1132077370138144769^'can't wait to see you dr dempsey!![?]green heartcollision symbolrocket'^2019-05-25^00:14:12^76599"
"1132077385560481792^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:14:16^22"
"1132077389801054208^'which do you like better  microsoft or apple? --'^2019-05-25^00:14:17^1692"
"1132077395660267521^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:14:18^20"
"1132077432390004737^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:14:27^2838"
"1132077440694706179^'which do you like better  microsoft or apple? -- twitter'^2019-05-25^00:14:29^19026"
"1132077442804408320^'which do you like better  microsoft or apple? --'^2019-05-25^00:14:30^358"
"1132077443857231873^'rt : microsoft's electionguard a trojan horse for a military-industrial takeover of us elections pap'^2019-05-25^00:14:30^333"
"1132077446260494336^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:14:30^117"
"1132077457778106369^'new apk: microsoft outlook  by microsoft corporation'^2019-05-25^00:14:33^22246"
"1132077457966870528^'eugene or usa - scientist i -  chemistry or related discipline experience in a technical manufac:  chemistry or related discipline experience in a technical manufacturing environment experienced with microsoft app oregon jobs'^2019-05-25^00:14:33^50"
"1132077469035458560^'rt : microsoft offers preview of blockchain-based identity system'^2019-05-25^00:14:36^789"
"1132077469375373315^'please note that if you turn this shit on  you won't be able to use neither virtualbox  nor vmware this is entirely microsoft's fault; for instance  virtualbox and vmware work together just fine'^2019-05-25^00:14:36^12888"
"1132077470625099776^'skype is terrible with features to connect me and indentify my neighbors meetup microsoft bing airbnb '^2019-05-25^00:14:36^171"
"1132077477856198656^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:14:38^64"
"1132077494084001794^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:14:42^76"
"1132077494574698498^'rt : microsoft has removed huawei's laptops from its online store the move comes after the united states placed huawei on a tr'^2019-05-25^00:14:42^764"
"1132077510991196161^'which do you like better  microsoft or apple? -- lolo'^2019-05-25^00:14:46^857"
"1132077519971246085^'let's pray he doesn't'^2019-05-25^00:14:48^235"
"1132077537151062021^'rt : can't wait to keep working with the adaptive controller and making it even more customized to me! definitely more'^2019-05-25^00:14:52^2321"
"1132077547200622592^'which do you like better  microsoft or apple? -- apple but like xbox too'^2019-05-25^00:14:54^2446"
"1132077563705221120^'which do you like better  microsoft or apple? --'^2019-05-25^00:14:58^6423"
"1132077575117762560^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:15:01^228"
"1132077585985413121^'all us azure regions now approved for fedramp high impact level cloudcomputing cloud'^2019-05-25^00:15:04^26"
"1132077588401262592^'last e colt said cd project red choose then microsoft stage to show cyberpunk because of the x forgetting that firstly it's down to money passing hands how devs pick who's stage and ndly n most importantly the demos running on a pc not a xbox face with tears of joyface with tears of joyface with tears of joy'^2019-05-25^00:15:04^8"
"1132077593266720768^'rt : microsoft's unique capabilities help businesses to stand out from the competition and make their customer engagement shine microsoft customerengagement o msdyn'^2019-05-25^00:15:05^3170"
"1132077595175006209^'a galois spin-off company free fair  develops election technology  partnered with microsoft to produce electionguard free fair's website says its partners of darpa  microsoft  voting machine manufacturervotingworks  with tallying software developer verificatum  state of co'^2019-05-25^00:15:06^63151"
"1132077622085783552^'microsoft might finally embrace usb-c on next-gen surface pro '^2019-05-25^00:15:12^4"
"1132077622496677888^'rt : microsoft officially releases microsoft edge for mac - by'^2019-05-25^00:15:12^93459"
"1132077628112945152^'rt : and the last donation of the campaign - w/  (ten!!!) scholarships donated xface screaming in fearloudly crying face this means we'^2019-05-25^00:15:14^5264"
"1132077644621721601^'which do you like better  microsoft or apple? -- microsoft i can't stand ios tbh'^2019-05-25^00:15:18^1720"
"1132077648367243264^'which do you like better  microsoft or apple? -- apple'^2019-05-25^00:15:19^779"
"1132077651592646658^'rt : which do you like better  microsoft or apple? -- baile do ferraz  collision symboljovem dexcollision symbol pushpinpista:   pushpinopen:   link do even'^2019-05-25^00:15:19^754"
"1132077653190729729^'rt : how to get microsoft rewards points: -complete the minecraft village pillage xgp quest how to get a k gold xbox one'^2019-05-25^00:15:20^0"
"1132077657976397824^'rt : guys i'm finally playing with/filming my adaptive controller + extras!! check it out! '^2019-05-25^00:15:21^2321"
"1132077658311974924^'introducing diagnostics improvements in net core  | net blog dotnetcore diagnostics'^2019-05-25^00:15:21^904"
"1132077699269218304^'rt : u ever open microsoft excel n just burst into tears'^2019-05-25^00:15:31^138"
"1132077724204449793^'which do you like better  microsoft or apple? --'^2019-05-25^00:15:37^1789"
"1132077751492472832^'oh gee  what could possibly go wrong with this idea?'^2019-05-25^00:15:43^4837"
"1132077754541891584^'rt : how to assure network level authentication is on  without group policy hklm\software\policies\microsoft\windows nt\t'^2019-05-25^00:15:44^197"
"1132077763991691264^'which do you like better  microsoft or apple? -- nokiavictory handemoji modifier fitzpatrick type-'^2019-05-25^00:15:46^324"
"1132077764410978304^'rt : no reason to trust microsoft or any other big tech giant  or any intelligence or law enforcement agencies for election inte'^2019-05-25^00:15:46^880"
"1132077787374850048^'microsoft  q earnings up %  with an easter egg windows'^2019-05-25^00:15:52^36"
"1132077790394822657^'this is going down in history yiff! let me show you it's features! makewindowsgreatagain  microsoft!'^2019-05-25^00:15:52^72"
